Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
TikTok,#Tech,Shorts,Japan,1517604,160995,69788,23037,High
TikTok,#Fitness,Tweet,Brazil,2746993,39549,53941,13070,Low
TikTok,#Viral,Post,Germany,4312799,395984,12729,37191,Medium
TikTok,#Fitness,Shorts,Canada,3269647,395557,90552,37531,Medium
Twitter,#Comedy,Reel,UK,3327043,459898,8577,4560,Medium
TikTok,#Tech,Shorts,Germany,3590490,177470,69628,13394,High
Instagram,#Comedy,Video,India,2109687,81944,74586,22335,High
Twitter,#Tech,Post,Brazil,4842053,171073,74732,42889,Medium
Instagram,#Dance,Live Stream,Australia,2352184,486228,59382,26190,Medium
Twitter,#Comedy,Video,Brazil,4485225,201005,32520,47972,Medium
Twitter,#Fashion,Live Stream,Japan,2061327,471049,25198,1014,Low
Twitter,#Education,Shorts,Germany,1618201,485204,92660,8526,Medium
YouTube,#Fitness,Live Stream,Australia,1740011,394641,25434,40742,Medium
Twitter,#Music,Post,Germany,3104601,401463,50057,4663,Low
YouTube,#Dance,Shorts,Germany,2924425,56074,82482,19622,Medium
TikTok,#Gaming,Reel,Germany,683790,215503,17809,14778,High
Instagram,#Tech,Tweet,Germany,2707572,230179,53270,6352,High
YouTube,#Tech,Post,Japan,3249574,165175,61456,274,Low
Instagram,#Tech,Reel,Brazil,4190005,84964,50369,19038,High
Twitter,#Dance,Live Stream,Brazil,4903151,221692,89008,32540,Medium
TikTok,#Challenge,Video,UK,203606,488156,57433,8556,Low
Twitter,#Challenge,Post,Brazil,495987,106797,25673,14776,Medium
Instagram,#Comedy,Shorts,UK,3415328,118469,14421,17676,Low
Instagram,#Fitness,Video,Japan,3458904,231857,64606,40429,Medium
YouTube,#Viral,Post,UK,1776694,409291,47848,32217,Low
Twitter,#Challenge,Live Stream,UK,1249604,30553,87308,16040,Medium
Instagram,#Education,Tweet,Brazil,2362909,209360,42036,10082,High
Instagram,#Challenge,Video,Canada,2980875,23957,13444,22622,High
Twitter,#Fitness,Post,Germany,4003396,356630,52250,48835,High
Twitter,#Comedy,Live Stream,UK,4582322,164949,4598,34876,High
Instagram,#Music,Live Stream,USA,3284675,375788,31851,4538,High
Instagram,#Challenge,Reel,USA,1558041,407000,95826,14793,Medium
YouTube,#Fitness,Shorts,Brazil,2188290,74779,95888,30392,Medium
TikTok,#Comedy,Tweet,UK,1893329,477886,83144,22309,Low
YouTube,#Challenge,Reel,USA,1259550,444463,95640,40419,Low
Instagram,#Dance,Live Stream,Australia,251154,309987,21850,21949,Low
YouTube,#Fitness,Reel,Australia,3000680,425076,88638,29249,High
YouTube,#Gaming,Post,Canada,4172105,113356,15475,39721,High
TikTok,#Dance,Shorts,India,1373399,241489,20322,23441,Medium
Twitter,#Comedy,Tweet,UK,106972,206432,65280,9800,High
YouTube,#Comedy,Video,Canada,3312960,366286,22239,43842,Medium
TikTok,#Dance,Reel,USA,1529954,243198,84121,45333,High
YouTube,#Tech,Post,Brazil,102258,164931,73156,20281,High
Instagram,#Gaming,Tweet,Australia,235741,197273,83423,15114,High
Twitter,#Fashion,Live Stream,Germany,3379946,52964,78464,19620,Medium
YouTube,#Challenge,Shorts,Canada,2234585,38539,86095,38190,High
Twitter,#Dance,Live Stream,USA,2688261,401420,13288,32169,High
TikTok,#Gaming,Video,Brazil,2260892,110179,66087,49262,High
TikTok,#Music,Live Stream,Germany,1130376,138976,12325,30626,High
Instagram,#Tech,Live Stream,USA,4650686,35344,74563,32695,High
Instagram,#Comedy,Shorts,Germany,473893,391296,16786,34510,Low
Instagram,#Comedy,Live Stream,India,2350338,117930,10242,49338,Medium
Twitter,#Fashion,Shorts,Canada,4539318,227085,49466,43222,High
YouTube,#Challenge,Tweet,Japan,1190886,286183,15049,26925,High
Instagram,#Education,Tweet,Australia,11338,379782,86100,44273,Medium
Instagram,#Gaming,Shorts,Brazil,1878293,135556,66131,1905,High
Instagram,#Challenge,Reel,India,1939855,270361,16051,48568,Medium
Twitter,#Gaming,Tweet,India,3725275,304621,39355,21276,Medium
YouTube,#Comedy,Tweet,USA,3464426,174304,3700,7670,High
TikTok,#Music,Reel,India,2404354,337049,40767,13246,High
YouTube,#Tech,Post,USA,3462645,247106,97876,38689,Low
TikTok,#Viral,Post,Australia,3106476,152334,49965,44652,High
Instagram,#Comedy,Video,UK,4796296,473059,1016,10919,Medium
Twitter,#Tech,Shorts,USA,2876540,10981,63070,9201,Low
Instagram,#Viral,Video,Japan,4298093,313918,75168,21454,High
Instagram,#Comedy,Tweet,Japan,2685008,312885,79634,27209,Medium
TikTok,#Fitness,Video,UK,794730,194026,93504,47841,High
Twitter,#Gaming,Live Stream,Australia,1477708,265660,97515,21963,Medium
TikTok,#Challenge,Video,USA,2418004,471089,47327,24701,Medium
Instagram,#Fashion,Tweet,India,454490,367108,6386,33172,Low
TikTok,#Challenge,Reel,Japan,1061491,404574,82042,29450,Medium
Twitter,#Gaming,Shorts,India,655507,247570,68972,23701,Medium
TikTok,#Challenge,Shorts,Germany,2631238,442816,29304,44101,Low
Instagram,#Dance,Shorts,Canada,2414079,453772,12971,44775,Medium
YouTube,#Fitness,Live Stream,Japan,3213925,436365,48616,46800,Low
Twitter,#Fitness,Live Stream,Australia,1658817,280297,70901,36696,Medium
TikTok,#Fitness,Post,Brazil,2878436,149765,9840,42118,High
TikTok,#Challenge,Live Stream,Brazil,3730939,8927,36583,33397,Medium
TikTok,#Education,Video,USA,1951149,367712,57910,28894,Low
Instagram,#Tech,Live Stream,India,4031260,489680,10003,38423,High
TikTok,#Dance,Tweet,UK,800596,434086,82037,27401,High
Twitter,#Music,Live Stream,Japan,3059352,45964,49018,20424,Medium
YouTube,#Tech,Tweet,USA,489829,338839,69684,45590,High
YouTube,#Gaming,Video,Brazil,1775441,300600,92494,29780,Low
Twitter,#Fitness,Shorts,UK,3386425,804,77479,48511,Low
Instagram,#Gaming,Reel,India,3147828,488798,11213,28108,Low
TikTok,#Challenge,Shorts,Australia,1370433,360983,28865,7949,Medium
Twitter,#Viral,Tweet,USA,4329212,314231,36820,38094,Low
YouTube,#Comedy,Tweet,Brazil,1193284,301260,95595,13072,High
TikTok,#Comedy,Tweet,Japan,4969573,61124,69585,20780,High
YouTube,#Fitness,Post,Canada,131873,454436,93369,18730,Low
Twitter,#Viral,Tweet,Brazil,3380653,387333,43799,7391,High
Twitter,#Dance,Video,Brazil,4615991,4652,67987,39672,High
TikTok,#Tech,Shorts,Germany,864943,82684,91782,8394,High
Instagram,#Comedy,Post,UK,1263647,322686,75202,21411,High
YouTube,#Fashion,Post,USA,1984393,375236,99926,43802,Medium
TikTok,#Music,Reel,USA,3986858,90525,32612,1252,Medium
TikTok,#Fitness,Video,Brazil,1026460,195036,70291,35850,Low
TikTok,#Viral,Shorts,Germany,3391235,264956,65030,40163,High
Twitter,#Challenge,Video,Brazil,3216923,205624,63081,49107,Low
Instagram,#Dance,Tweet,USA,4841137,431351,625,19075,Medium
TikTok,#Gaming,Shorts,Brazil,2056554,5852,96016,26074,High
Instagram,#Music,Live Stream,Brazil,1889541,357123,24263,35214,Low
Instagram,#Fashion,Video,Brazil,353263,473924,71436,3303,High
Instagram,#Tech,Video,Canada,2385749,319160,12581,37720,Low
YouTube,#Comedy,Post,UK,2543088,334654,46205,44955,Low
Instagram,#Music,Reel,Germany,4826724,359660,68209,1169,High
TikTok,#Dance,Tweet,Canada,332982,248040,43908,44462,High
TikTok,#Viral,Reel,Brazil,243690,434643,49661,16049,Low
Instagram,#Education,Video,India,2780722,130632,4458,42849,Medium
Twitter,#Education,Post,Japan,4582230,284453,89108,46380,Medium
YouTube,#Fashion,Post,USA,4126761,108177,6409,1021,Medium
Twitter,#Fashion,Post,Brazil,2116294,479845,2280,48864,Low
Instagram,#Dance,Post,Canada,3724442,459724,55807,9912,Medium
Instagram,#Gaming,Tweet,Brazil,4170208,315259,26019,37399,Medium
Twitter,#Comedy,Shorts,Canada,1340034,92561,43545,32024,Low
YouTube,#Education,Post,India,2091486,222248,78214,42629,High
Twitter,#Fashion,Reel,Japan,4386555,119786,77421,45384,Low
YouTube,#Fashion,Tweet,UK,97528,402649,98985,48533,Medium
YouTube,#Viral,Live Stream,Germany,3781524,76341,10644,1692,Medium
TikTok,#Tech,Shorts,Japan,2076113,484384,39567,41864,Low
TikTok,#Music,Tweet,Brazil,3648938,224759,88368,34806,High
TikTok,#Dance,Live Stream,USA,1304352,334062,84453,42589,Medium
Instagram,#Viral,Tweet,Australia,4113719,371010,23116,29531,Low
TikTok,#Tech,Live Stream,Germany,2919564,36753,49519,6372,High
YouTube,#Gaming,Tweet,USA,4732496,365067,78267,37692,Low
Twitter,#Challenge,Shorts,Japan,2040652,407996,11598,40259,Low
YouTube,#Gaming,Live Stream,Canada,3380651,451739,2827,2335,High
YouTube,#Education,Video,India,2592595,237876,33780,36343,High
Instagram,#Gaming,Post,Canada,4284095,435610,44348,35611,High
YouTube,#Tech,Video,Brazil,1562200,236997,84050,12958,Medium
Twitter,#Fashion,Live Stream,USA,3305437,493487,69852,38719,High
YouTube,#Dance,Shorts,India,2293007,93269,84008,11949,Medium
Twitter,#Fashion,Shorts,UK,1191376,239380,16309,8387,Low
YouTube,#Viral,Live Stream,India,660930,336481,11129,35123,Low
TikTok,#Comedy,Live Stream,India,790471,245250,99730,49881,Medium
YouTube,#Comedy,Live Stream,Japan,4565789,300350,4163,15057,Medium
Instagram,#Fitness,Shorts,USA,1513083,352786,90781,29795,Low
Twitter,#Fashion,Shorts,Japan,3829879,145994,75122,11620,Low
YouTube,#Viral,Live Stream,Australia,2754577,351227,85607,43219,High
Twitter,#Fitness,Video,Canada,3497840,366736,65404,28802,High
Instagram,#Viral,Tweet,Germany,4746014,29305,89872,16323,Medium
Twitter,#Fitness,Video,Canada,4161787,343575,2003,19921,Medium
YouTube,#Dance,Video,India,3873103,121317,4727,38875,Medium
YouTube,#Viral,Tweet,Brazil,3620241,386951,38015,31259,High
YouTube,#Tech,Video,India,3722406,295942,27878,47869,Medium
YouTube,#Dance,Video,India,2975095,449386,33351,13313,High
YouTube,#Tech,Reel,Brazil,178206,37884,42111,34950,Low
TikTok,#Tech,Reel,Australia,2221223,69758,80790,38108,Medium
Twitter,#Fitness,Video,USA,3283134,413608,67001,12600,High
Twitter,#Dance,Live Stream,Germany,2215064,29791,99856,25420,High
Twitter,#Fashion,Video,Brazil,2189190,105704,95438,38438,Low
Instagram,#Fitness,Live Stream,UK,2085067,227030,40851,2906,Low
Instagram,#Viral,Live Stream,India,4121250,73511,93273,36056,Medium
Twitter,#Fitness,Live Stream,USA,1706185,35065,44031,14777,Medium
Twitter,#Education,Video,Canada,697238,308437,36985,18584,Medium
TikTok,#Education,Live Stream,UK,492746,467395,66735,1125,Medium
Twitter,#Viral,Post,USA,2611265,196133,74984,14125,Medium
Instagram,#Challenge,Reel,UK,4248915,261493,87021,28833,Medium
YouTube,#Dance,Post,Canada,3239323,38620,936,18479,Low
Twitter,#Fashion,Live Stream,Canada,3551156,74808,24814,5993,Low
TikTok,#Tech,Post,Brazil,4569045,140232,946,8215,Medium
YouTube,#Tech,Post,Brazil,651443,338455,43231,38317,Low
TikTok,#Comedy,Post,India,3484442,290461,51999,5863,High
TikTok,#Gaming,Live Stream,Australia,497423,158956,68044,30123,Low
YouTube,#Viral,Post,Brazil,222706,422102,50384,8792,Medium
YouTube,#Viral,Live Stream,Japan,1128302,228488,52037,25873,Medium
YouTube,#Education,Live Stream,USA,2677335,7372,39950,10623,Medium
YouTube,#Education,Shorts,India,1050909,258178,5642,13315,Low
Twitter,#Education,Live Stream,Canada,1015391,388747,2397,15351,High
Twitter,#Fashion,Post,Canada,1217360,423212,78276,46525,Medium
TikTok,#Challenge,Tweet,Brazil,3371506,450959,9604,38602,Low
YouTube,#Music,Reel,USA,2477176,11709,98546,46222,High
Instagram,#Dance,Reel,Canada,2912775,178086,11014,25511,Medium
YouTube,#Music,Video,Brazil,962239,312622,27648,42018,Low
TikTok,#Challenge,Post,Brazil,3069640,139491,60853,30527,Medium
YouTube,#Education,Tweet,USA,1106136,186803,18713,7394,Medium
Instagram,#Tech,Reel,Canada,4018134,476460,96568,48685,Medium
Instagram,#Tech,Video,Brazil,1135196,106116,41569,21497,Medium
TikTok,#Education,Live Stream,Canada,136335,97707,63913,30021,Low
Instagram,#Music,Live Stream,Germany,312301,376135,50291,40981,High
Instagram,#Dance,Shorts,Brazil,2930383,479741,220,33112,Low
Twitter,#Fashion,Reel,India,963339,243870,4291,30134,Low
TikTok,#Dance,Tweet,Germany,2542362,339645,75620,27672,High
YouTube,#Music,Shorts,USA,929670,415475,77500,1737,Medium
Instagram,#Fashion,Reel,Germany,2808211,93056,17427,27332,Low
Twitter,#Challenge,Live Stream,India,209672,221957,65127,34835,Medium
Twitter,#Comedy,Tweet,Canada,3737771,3185,21475,43289,Medium
YouTube,#Challenge,Video,USA,4446755,221164,44206,37039,Low
TikTok,#Gaming,Post,UK,2013957,449783,37315,45597,Medium
TikTok,#Tech,Reel,Canada,1036784,398301,83508,44951,Medium
Twitter,#Education,Video,USA,3980555,275061,89641,47571,Low
TikTok,#Gaming,Video,Brazil,4198164,5801,27958,40130,High
Instagram,#Education,Tweet,USA,3123278,298146,8587,1236,Low
TikTok,#Gaming,Video,Japan,2064157,356084,56738,25612,Low
TikTok,#Education,Post,USA,2074835,47157,47309,8648,Medium
TikTok,#Education,Reel,USA,4860381,322942,75521,4830,High
Instagram,#Fashion,Reel,Brazil,3599873,278305,77717,19512,Low
TikTok,#Gaming,Reel,Brazil,3940481,94795,68944,47811,Medium
TikTok,#Fashion,Reel,UK,3402318,493021,14422,17661,Medium
Instagram,#Tech,Post,Germany,2836169,142049,19440,32540,High
Instagram,#Fashion,Tweet,Australia,3207625,410976,85117,37271,Low
Twitter,#Tech,Post,Australia,3036452,221744,11077,49900,High
TikTok,#Music,Reel,Japan,4172163,236621,13929,2337,High
Twitter,#Fitness,Video,India,1588694,85453,32995,47809,Low
TikTok,#Education,Reel,Germany,4698854,234921,87352,22243,High
TikTok,#Dance,Shorts,Germany,1435830,117831,84434,24859,High
TikTok,#Dance,Shorts,Australia,3990883,491508,66058,37043,Medium
Twitter,#Education,Post,Canada,778600,491963,55403,8603,Low
TikTok,#Comedy,Live Stream,Brazil,4103458,118601,51035,44941,Low
TikTok,#Dance,Video,Australia,4149798,198160,72234,42191,Medium
Twitter,#Music,Video,Japan,3312891,292286,6952,23430,Low
TikTok,#Music,Video,India,1154890,242791,31594,24465,Low
YouTube,#Fitness,Video,Germany,2289467,55335,94333,43209,High
Twitter,#Gaming,Post,India,950724,371343,52165,30174,Medium
Twitter,#Education,Post,Japan,4641254,378649,39504,22534,High
YouTube,#Challenge,Reel,USA,633478,356209,80366,48809,Low
Twitter,#Fashion,Reel,Australia,513065,249364,19912,7312,Medium
Twitter,#Gaming,Tweet,Japan,2165655,124165,5295,34518,High
Instagram,#Education,Video,USA,4029746,268583,97064,12067,Low
YouTube,#Music,Video,Japan,505913,272303,96744,360,High
TikTok,#Challenge,Reel,USA,4486868,94546,72083,47825,Low
Instagram,#Fitness,Live Stream,UK,4184048,287717,88326,45451,Medium
Twitter,#Fitness,Post,Germany,2435410,326186,1739,5729,Low
Instagram,#Education,Video,USA,1171718,339285,76401,22897,High
Twitter,#Comedy,Shorts,Brazil,4098970,468202,10925,38510,High
YouTube,#Viral,Video,Australia,1538823,307662,59624,8124,Low
Twitter,#Fitness,Video,USA,2595660,434540,40012,13478,High
TikTok,#Gaming,Shorts,Australia,3521130,260136,65723,32176,Low
Instagram,#Gaming,Tweet,India,3589308,407373,70852,20849,High
YouTube,#Comedy,Tweet,UK,1035365,326981,34821,2572,High
Instagram,#Education,Reel,UK,2315963,306373,6915,33050,Medium
YouTube,#Education,Reel,Canada,2676777,488199,52014,45422,Medium
Instagram,#Viral,Video,Canada,2950546,305105,99587,34102,Medium
TikTok,#Fashion,Tweet,USA,3368170,17758,93392,19981,High
YouTube,#Fashion,Reel,Japan,4736019,308046,88779,33858,Medium
TikTok,#Gaming,Reel,Japan,2258063,241357,49321,14634,Low
YouTube,#Comedy,Live Stream,Germany,4989820,166706,39793,15510,High
YouTube,#Tech,Post,Germany,4766161,384232,67245,8995,Medium
TikTok,#Challenge,Reel,UK,4706101,198755,73600,39098,Low
Twitter,#Fashion,Live Stream,Canada,1726804,328441,44676,1323,High
YouTube,#Dance,Tweet,Canada,3218932,135138,58808,4020,Medium
Instagram,#Education,Live Stream,Germany,1374292,468164,79559,11612,Low
Twitter,#Gaming,Shorts,Japan,2307722,112883,48860,26500,High
TikTok,#Fitness,Post,USA,3943560,361857,53708,10889,High
YouTube,#Viral,Tweet,USA,4397362,416040,26255,37205,Medium
Instagram,#Tech,Reel,India,2904623,210629,93645,25652,High
YouTube,#Dance,Reel,USA,4648895,334635,14885,39943,High
YouTube,#Education,Tweet,Japan,2182075,401349,79190,49849,High
YouTube,#Tech,Tweet,Germany,3686801,289690,37216,29859,Low
Instagram,#Music,Video,UK,436676,411915,89675,24765,Low
Instagram,#Challenge,Tweet,Germany,1021135,442784,49480,32668,High
Twitter,#Music,Tweet,USA,2616896,411249,93026,8004,High
Instagram,#Fitness,Reel,Canada,80333,106027,74544,43880,Low
YouTube,#Dance,Post,USA,2286789,161388,40096,47798,Medium
Twitter,#Tech,Tweet,Canada,803980,242545,76839,34020,Low
YouTube,#Fitness,Reel,Japan,1658169,328783,1574,11658,High
Twitter,#Dance,Post,Japan,723296,216935,93964,23402,Low
TikTok,#Tech,Tweet,Japan,3206060,426226,17467,29795,High
TikTok,#Tech,Post,Japan,1655182,289945,93775,32084,High
TikTok,#Viral,Video,Australia,1476674,464620,19688,29990,Low
Twitter,#Viral,Shorts,Brazil,1771174,91099,97414,3140,Low
TikTok,#Challenge,Reel,Australia,3327212,134040,6283,36793,High
TikTok,#Gaming,Post,India,690673,437322,28171,24122,Medium
YouTube,#Gaming,Tweet,Australia,3569008,137418,23331,49305,Medium
TikTok,#Dance,Tweet,Brazil,3099684,153065,41200,7632,Low
Twitter,#Music,Reel,Japan,3710671,76950,26333,7103,Medium
Instagram,#Education,Post,Canada,3188483,368317,49091,21981,Low
TikTok,#Comedy,Live Stream,USA,2801347,499380,60311,12282,High
TikTok,#Challenge,Live Stream,USA,2248578,93218,59577,14331,Medium
Twitter,#Music,Live Stream,Australia,1609482,403027,23102,44642,High
YouTube,#Challenge,Live Stream,Brazil,4251376,37945,3378,26696,Low
YouTube,#Challenge,Reel,India,1358058,300720,59766,43145,Medium
TikTok,#Tech,Tweet,India,2606224,69943,67574,13284,Medium
Instagram,#Viral,Video,Brazil,3442475,429165,1181,16421,Medium
Twitter,#Dance,Live Stream,Australia,3909627,162796,63419,5547,High
YouTube,#Education,Post,Germany,4022893,120768,54001,43214,Medium
TikTok,#Fitness,Live Stream,Canada,2288198,160224,63631,2779,High
YouTube,#Fashion,Post,Germany,1707547,468293,62396,41097,Medium
TikTok,#Dance,Reel,USA,167982,473290,53315,22117,High
Twitter,#Tech,Shorts,India,1723036,269685,15870,11719,Low
Instagram,#Tech,Video,Germany,1368137,220395,47904,42984,Low
Instagram,#Comedy,Shorts,Brazil,1753723,413003,90078,39688,High
Twitter,#Music,Live Stream,USA,4289386,188014,39473,14691,Low
Twitter,#Comedy,Video,USA,3356274,322024,4474,33051,High
Instagram,#Dance,Tweet,Germany,2213124,480760,63167,20082,High
TikTok,#Comedy,Video,Canada,1714956,137707,28180,47207,Medium
TikTok,#Comedy,Shorts,UK,2347135,149856,83261,13888,Low
YouTube,#Tech,Reel,Canada,3849864,429897,10666,23842,Medium
TikTok,#Fitness,Shorts,USA,2458064,428601,16411,12329,Medium
TikTok,#Fashion,Tweet,UK,4138951,356632,57983,12027,High
Twitter,#Tech,Reel,USA,786091,115476,45804,33532,Low
Instagram,#Comedy,Tweet,Australia,2428341,178208,2717,10620,High
Instagram,#Music,Reel,Australia,1934060,55050,41483,39848,Medium
YouTube,#Comedy,Live Stream,UK,3328075,305353,8424,46784,Medium
Instagram,#Challenge,Shorts,India,4618662,1774,38568,31300,Low
YouTube,#Education,Video,Brazil,2637799,128740,47263,25381,Low
Twitter,#Viral,Post,Japan,1021175,427434,92929,40158,Medium
Instagram,#Fashion,Post,India,136708,9741,60279,1977,Medium
TikTok,#Tech,Live Stream,Brazil,4820047,240695,76116,10533,Low
YouTube,#Tech,Video,Canada,1417619,261333,28832,33631,Medium
Instagram,#Challenge,Shorts,Canada,3373662,127818,52586,17121,Medium
Twitter,#Viral,Live Stream,Australia,280264,24388,40754,36005,Low
YouTube,#Dance,Post,Brazil,1412186,348080,24255,47797,Low
YouTube,#Comedy,Live Stream,Australia,2440607,59389,15997,21735,Low
YouTube,#Viral,Live Stream,Canada,1212383,134452,16512,26744,Low
YouTube,#Education,Shorts,India,2561337,468506,33962,5509,Low
YouTube,#Dance,Post,Japan,886874,374139,41228,35296,High
TikTok,#Tech,Tweet,Brazil,1622096,119815,41769,1529,Medium
Instagram,#Gaming,Post,Brazil,946358,304294,25948,35055,Low
Twitter,#Music,Video,Germany,4119667,242655,41085,3854,High
TikTok,#Education,Post,USA,3974573,400911,46622,18136,Low
YouTube,#Challenge,Post,India,2764814,67913,48844,32596,Low
Instagram,#Dance,Post,Canada,3105914,310842,86059,25445,Low
YouTube,#Fitness,Video,UK,2289887,411599,6923,34729,High
YouTube,#Education,Video,Japan,1213734,342720,58380,21282,Medium
YouTube,#Fitness,Video,Germany,264136,434933,9642,7876,High
Twitter,#Dance,Shorts,Germany,1661537,8669,88291,10996,Low
Instagram,#Music,Live Stream,UK,643763,472554,57987,11509,High
TikTok,#Dance,Reel,Australia,1296499,230354,67311,23584,Low
TikTok,#Comedy,Post,Germany,1205102,220248,24146,6273,High
Twitter,#Comedy,Post,India,3264905,287339,75893,22514,Low
TikTok,#Fashion,Tweet,Japan,4295107,52742,18986,7245,Medium
YouTube,#Tech,Tweet,Canada,736289,485171,37329,48944,Medium
Twitter,#Gaming,Tweet,UK,961783,142483,59165,21732,Medium
Instagram,#Challenge,Live Stream,UK,3171066,339557,4006,12554,Medium
YouTube,#Comedy,Live Stream,Canada,2389579,152619,48984,25191,Medium
TikTok,#Challenge,Shorts,India,804183,164716,88378,8578,Medium
Twitter,#Music,Reel,India,278830,96874,13638,40689,Medium
YouTube,#Fitness,Shorts,UK,894414,424359,9498,48618,High
YouTube,#Viral,Reel,UK,3175002,317730,81407,42155,Low
YouTube,#Dance,Reel,Brazil,2362838,3194,35532,3408,High
TikTok,#Dance,Video,USA,2010391,142135,17115,37585,Low
Twitter,#Music,Tweet,UK,1333519,33634,67008,19020,Medium
TikTok,#Challenge,Video,USA,2851867,407380,86927,39494,Low
Instagram,#Education,Reel,Canada,330476,485696,2619,4585,Low
Twitter,#Comedy,Post,Australia,1068462,397476,34854,18603,Medium
Twitter,#Tech,Live Stream,Australia,370537,271989,18364,40465,Low
Twitter,#Fitness,Video,Germany,2055018,318200,34749,4831,High
Instagram,#Dance,Video,Brazil,1179104,355660,14269,32625,Medium
Twitter,#Fashion,Reel,USA,842477,301736,68814,19088,Low
Instagram,#Fashion,Live Stream,India,739337,157550,81164,9915,Medium
Twitter,#Fitness,Shorts,Australia,4500031,189284,97120,44811,Medium
YouTube,#Education,Tweet,UK,1215133,357427,68104,34015,Low
Instagram,#Challenge,Post,Brazil,449348,35182,4716,18161,High
Twitter,#Dance,Reel,India,1190740,213240,94333,16398,Medium
YouTube,#Fashion,Post,Brazil,1118979,426061,23299,8196,Medium
Instagram,#Fashion,Tweet,Brazil,4007152,432650,96770,7738,Medium
Twitter,#Fashion,Post,Japan,3390112,413183,6201,2949,Low
Instagram,#Viral,Reel,Canada,4223266,5635,13422,13879,Low
Twitter,#Tech,Tweet,USA,837863,264887,35633,21578,High
Twitter,#Viral,Tweet,Germany,3425267,229865,43423,22490,Low
Twitter,#Education,Shorts,Germany,4347648,241142,55800,165,High
TikTok,#Music,Video,UK,2454558,271958,31163,46231,High
Twitter,#Fitness,Video,Brazil,4328041,127158,91300,2263,Low
TikTok,#Tech,Live Stream,Germany,4511744,254344,59222,41866,Medium
YouTube,#Fashion,Live Stream,Japan,4610463,425376,84697,14385,Medium
Instagram,#Education,Live Stream,Germany,2277825,468829,14948,24904,Low
YouTube,#Music,Live Stream,Japan,3893120,140608,79169,3536,High
TikTok,#Gaming,Video,Canada,323133,316119,92969,275,Low
TikTok,#Comedy,Reel,Japan,4714288,367578,82639,34084,High
Instagram,#Viral,Reel,Japan,2449412,260270,93639,48015,Medium
Instagram,#Fashion,Video,Germany,3525460,12794,64359,44733,Low
YouTube,#Viral,Reel,Canada,4742368,54608,90554,26913,Medium
Instagram,#Fashion,Reel,Australia,2884482,205837,18884,34478,High
TikTok,#Education,Tweet,Japan,2816091,31691,13582,28775,Medium
Twitter,#Challenge,Tweet,Canada,4467747,342278,65649,39380,Medium
YouTube,#Music,Reel,USA,4985164,47700,96055,48941,High
TikTok,#Comedy,Shorts,Germany,4745468,126563,37361,35102,High
YouTube,#Tech,Video,UK,4193386,430264,84216,12887,Low
YouTube,#Education,Tweet,USA,1406438,73183,6162,13527,Medium
YouTube,#Dance,Live Stream,Germany,4920264,398327,3628,34070,Medium
TikTok,#Fitness,Live Stream,Australia,675163,272637,95308,27495,High
YouTube,#Fitness,Shorts,Germany,3156979,486439,65910,47543,Medium
Twitter,#Dance,Reel,Canada,2825287,117638,95968,7429,High
Instagram,#Comedy,Live Stream,India,4880933,424044,36411,15765,Low
TikTok,#Comedy,Shorts,Japan,203380,209884,73618,20779,Low
Instagram,#Viral,Live Stream,Germany,1591371,457773,5808,24319,High
Twitter,#Tech,Shorts,India,3671946,28063,80288,21251,Low
Instagram,#Music,Shorts,Germany,4747943,215327,30817,27401,High
Twitter,#Fashion,Live Stream,Germany,2578412,251504,84789,13528,Medium
YouTube,#Viral,Video,India,1449220,225649,39904,16363,Low
YouTube,#Challenge,Post,Japan,597344,17521,66825,29302,Medium
TikTok,#Comedy,Video,Canada,1009899,476137,3228,47964,Low
YouTube,#Fashion,Shorts,USA,3120029,151582,8928,27509,Medium
TikTok,#Gaming,Tweet,Australia,2364689,57101,14115,11231,High
YouTube,#Gaming,Video,Canada,853053,422491,51824,41589,Low
TikTok,#Dance,Post,Germany,318179,247637,74541,9632,Low
Twitter,#Fashion,Tweet,UK,2205622,171076,81828,23677,Medium
TikTok,#Viral,Post,Canada,963137,158489,94198,2651,Low
Twitter,#Tech,Video,Canada,4356359,427373,98628,27675,Low
Instagram,#Challenge,Tweet,Australia,1180989,109429,18098,33218,Medium
YouTube,#Challenge,Reel,Brazil,3465465,146955,2010,4596,High
Instagram,#Comedy,Reel,India,2744810,30544,94790,20833,Medium
Twitter,#Fitness,Video,UK,4517381,232135,69688,1995,Low
Twitter,#Fitness,Video,Canada,4496073,124732,19857,2918,Medium
Instagram,#Fashion,Live Stream,Germany,323411,56058,33031,39409,High
YouTube,#Education,Reel,Germany,1690683,485592,49331,19554,High
TikTok,#Music,Reel,Canada,4125312,360231,50867,10401,Medium
Instagram,#Education,Reel,India,3262393,454181,90442,5100,Low
TikTok,#Fitness,Shorts,Brazil,1323089,321120,43717,31601,High
YouTube,#Fitness,Reel,Germany,4993673,462012,14851,39245,Low
YouTube,#Gaming,Shorts,USA,1871397,491635,26412,40281,High
Twitter,#Music,Live Stream,Germany,1091382,169871,69296,28132,Medium
Instagram,#Gaming,Tweet,Brazil,3717231,417599,10888,30642,Low
Twitter,#Challenge,Shorts,UK,3351844,109560,72783,24165,High
YouTube,#Education,Post,USA,1088400,219478,50960,9544,Low
TikTok,#Music,Tweet,UK,1068851,486900,57469,18804,Low
